Date of Observation;Value-Weighted Return-incl. dividends
31.10.1945;0,03874934
30.11.1945;0,05485895
31.12.1945;0,01300259
31.01.1946;0,06340188
28.02.1946;-0,05825729
30.03.1946;0,0579414
30.04.1946;0,04229307
31.05.1946;0,0401952
28.06.1946;-0,03866839
31.07.1946;-0,02630898
30.08.1946;-0,06446838
30.09.1946;-0,1020226
31.10.1946;-0,01416352
30.11.1946;0,000696889
31.12.1946;0,0501611
31.01.1947;0,01308428
28.02.1947;-0,01109093
31.03.1947;-0,01679013
30.04.1947;-0,04769807
29.05.1947;-0,009624612
30.06.1947;0,05322647
31.07.1947;0,04134795
29.08.1947;-0,01735736
30.09.1947;-0,00466713
31.10.1947;0,02483112
29.11.1947;-0,01874959
31.12.1947;0,03070795
31.01.1948;-0,03790801
28.02.1948;-0,04342223
31.03.1948;0,08262763
30.04.1948;0,03812801
28.05.1948;0,07431936
30.06.1948;-0,000279898
30.07.1948;-0,05028754
31.08.1948;0,003762302
30.09.1948;-0,02981309
30.10.1948;0,06031576
30.11.1948;-0,09207732
31.12.1948;0,03256602
31.01.1949;0,00307437
28.02.1949;-0,02885193
31.03.1949;0,04153747
30.04.1949;-0,01797221
31.05.1949;-0,02848772
30.06.1949;0,002180482
29.07.1949;0,05637717
31.08.1949;0,02691613
30.09.1949;0,03208201
31.10.1949;0,03180142
30.11.1949;0,01853478
31.12.1949;0,05226684
31.01.1950;0,01776387
28.02.1950;0,01523364
31.03.1950;0,01274167
29.04.1950;0,04067758
31.05.1950;0,04417265
30.06.1950;-0,0580182
31.07.1950;0,01612194
31.08.1950;0,05087451
29.09.1950;0,0490439
31.10.1950;-0,001184262
30.11.1950;0,02905564
30.12.1950;0,05794587
31.01.1951;0,05873524
28.02.1951;0,01408586
31.03.1951;-0,02111456
30.04.1951;0,05006079
31.05.1951;-0,02246361
29.06.1951;-0,02553251
31.07.1951;0,07161052
31.08.1951;0,0450037
28.09.1951;0,009086545
31.10.1951;-0,02262877
30.11.1951;0,00619348
31.12.1951;0,03526568
31.01.1952;0,01700245
29.02.1952;-0,02514076
31.03.1952;0,04586996
30.04.1952;-0,04914772
29.05.1952;0,03284694
30.06.1952;0,03957465
31.07.1952;0,01140411
29.08.1952;-0,006732553
30.09.1952;-0,0191469
31.10.1952;-0,005309009
28.11.1952;0,05934718
31.12.1952;0,03106571
30.01.1953;-0,001644253
27.02.1953;-0,001820268
31.03.1953;-0,01286202
30.04.1953;-0,02770464
29.05.1953;0,006921144
30.06.1953;-0,01637693
31.07.1953;0,02511135
31.08.1953;-0,04405621
30.09.1953;0,003009872
30.10.1953;0,04752312
30.11.1953;0,02850134
31.12.1953;0,000678271
29.01.1954;0,05272153
26.02.1954;0,01755125
31.03.1954;0,0373766
30.04.1954;0,04316166
28.05.1954;0,0317037
30.06.1954;0,01155965
30.07.1954;0,05066832
31.08.1954;-0,02276267
30.09.1954;0,06463256
29.10.1954;-0,0162159
30.11.1954;0,09538717
31.12.1954;0,05546865
31.01.1955;0,006837672
28.02.1955;0,03135416
31.03.1955;-0,000994503
29.04.1955;0,03235196
31.05.1955;0,01203341
30.06.1955;0,06610822
29.07.1955;0,02024557
31.08.1955;0,004196894
30.09.1955;-0,00200948
31.10.1955;-0,02575151
30.11.1955;0,07186419
30.12.1955;0,01654255
31.01.1956;-0,02811947
29.02.1956;0,03960966
29.03.1956;0,06845615
30.04.1956;0,005083206
31.05.1956;-0,04930901
29.06.1956;0,0372509
31.07.1956;0,05082991
31.08.1956;-0,0298204
28.09.1956;-0,04960825
31.10.1956;0,007291722
30.11.1956;0,004677877
31.12.1956;0,03495719
31.01.1957;-0,03212142
28.02.1957;-0,01870262
29.03.1957;0,02411172
30.04.1957;0,04517923
31.05.1957;0,03667944
28.06.1957;-0,005054421
31.07.1957;0,008937786
30.08.1957;-0,05005114
30.09.1957;-0,05758639
31.10.1957;-0,04125081
29.11.1957;0,02560463
31.12.1957;-0,03736046
31.01.1958;0,04959513
28.02.1958;-0,01425682
31.03.1958;0,03369981
30.04.1958;0,03083256
29.05.1958;0,02458158
30.06.1958;0,02949272
31.07.1958;0,04484433
29.08.1958;0,01918109
30.09.1958;0,04868042
31.10.1958;0,02718404
28.11.1958;0,03061017
31.12.1958;0,05309946
30.01.1959;0,009120074
27.02.1959;0,01121954
31.03.1959;0,004669121
30.04.1959;0,03789878
29.05.1959;0,01959489
30.06.1959;0,000676478
31.07.1959;0,03436159
31.08.1959;-0,01244558
30.09.1959;-0,04497696
30.10.1959;0,01574567
30.11.1959;0,01855666
31.12.1959;0,02804312
29.01.1960;-0,06624392
29.02.1960;0,01441908
31.03.1960;-0,01282217
29.04.1960;-0,01527067
31.05.1960;0,03409799
30.06.1960;0,0228328
29.07.1960;-0,02270468
31.08.1960;0,03221498
30.09.1960;-0,05867334
31.10.1960;-0,004704664
30.11.1960;0,0486173
30.12.1960;0,04853724
31.01.1961;0,0639524
28.02.1961;0,03700465
30.03.1961;0,03060992
28.04.1961;0,005644733
31.05.1961;0,02589407
30.06.1961;-0,02849906
31.07.1961;0,02995465
31.08.1961;0,02685441
29.09.1961;-0,01999036
31.10.1961;0,02733113
30.11.1961;0,04545113
29.12.1961;0,000712951
31.01.1962;-0,03614699
28.02.1962;0,01951236
30.03.1962;-0,004687611
30.04.1962;-0,06343471
31.05.1962;-0,08461992
29.06.1962;-0,08261504
31.07.1962;0,06543834
31.08.1962;0,02341668
28.09.1962;-0,05015767
31.10.1962;0,002187635
30.11.1962;0,1101369
31.12.1962;0,01186515
31.01.1963;0,05184823
28.02.1963;-0,02193106
29.03.1963;0,03291728
30.04.1963;0,04743851
31.05.1963;0,02005139
28.06.1963;-0,01803049
31.07.1963;-0,001717494
30.08.1963;0,05268367
30.09.1963;-0,01189808
31.10.1963;0,0277083
29.11.1963;-0,005548968
31.12.1963;0,0217365
31.01.1964;0,02579008
28.02.1964;0,0172073
31.03.1964;0,01763623
30.04.1964;0,004607358
28.05.1964;0,01740315
30.06.1964;0,01507987
31.07.1964;0,02011832
31.08.1964;-0,01126617
30.09.1964;0,03048012
30.10.1964;0,008869302
30.11.1964;0,003089569
31.12.1964;0,003689846
29.01.1965;0,03864574
26.02.1965;0,006945935
31.03.1965;-0,00971524
30.04.1965;0,03365218
28.05.1965;-0,004350524
30.06.1965;-0,05186835
30.07.1965;0,0167595
31.08.1965;0,03088298
30.09.1965;0,03195219
29.10.1965;0,02927143
30.11.1965;0,003064989
31.12.1965;0,01354478
31.01.1966;0,01212212
28.02.1966;-0,008620886
31.03.1966;-0,02092299
29.04.1966;0,02483704
31.05.1966;-0,05253842
30.06.1966;-0,01031711
29.07.1966;-0,01287017
31.08.1966;-0,07538751
30.09.1966;-0,006958398
31.10.1966;0,04229431
30.11.1966;0,01751626
30.12.1966;0,006210231
31.01.1967;0,08552963
28.02.1967;0,01094501
31.03.1967;0,043384
28.04.1967;0,04160865
31.05.1967;-0,0392931
30.06.1967;0,02690233
31.07.1967;0,04918982
31.08.1967;-0,006282029
29.09.1967;0,03428565
31.10.1967;-0,02743284
30.11.1967;0,007901721
29.12.1967;0,03369884
31.01.1968;-0,03633116
29.02.1968;-0,03362382
29.03.1968;0,005116762
30.04.1968;0,09414785
31.05.1968;0,02703952
28.06.1968;0,01152727
30.07.1968;-0,02202376
30.08.1968;0,01803673
30.09.1968;0,04445384
31.10.1968;0,009041496
29.11.1968;0,05850088
31.12.1968;-0,0338729
31.01.1969;-0,006711428
28.02.1969;-0,05364063
28.03.1969;0,03050514
30.04.1969;0,02052654
29.05.1969;0,005039936
30.06.1969;-0,06738772
31.07.1969;-0,06517118
29.08.1969;0,05149065
30.09.1969;-0,02258974
31.10.1969;0,05563746
28.11.1969;-0,03216361
31.12.1969;-0,01968027
30.01.1970;-0,07325433
27.02.1970;0,05670619
31.03.1970;-0,004729048
30.04.1970;-0,105318
29.05.1970;-0,06434612
30.06.1970;-0,05106708
31.07.1970;0,07416985
31.08.1970;0,05003595
30.09.1970;0,0475351
30.10.1970;-0,01820759
30.11.1970;0,05044846
31.12.1970;0,06072307
29.01.1971;0,0520295
26.02.1971;0,01691251
31.03.1971;0,04477762
30.04.1971;0,03333244
28.05.1971;-0,03640871
30.06.1971;0,003119315
30.07.1971;-0,04028279
31.08.1971;0,04251106
30.09.1971;-0,005015686
29.10.1971;-0,04068255
30.11.1971;-0,001262096
31.12.1971;0,09125689
31.01.1972;0,02838215
29.02.1972;0,03134872
30.03.1972;0,008722727
28.04.1972;0,005505264
31.05.1972;0,01637547
30.06.1972;-0,0208965
31.07.1972;-0,004253696
31.08.1972;0,03596625
29.09.1972;-0,007670341
31.10.1972;0,008675791
30.11.1972;0,0497637
29.12.1972;0,01124341
31.01.1973;-0,02745415
28.02.1973;-0,04436952
30.03.1973;-0,007857176
30.04.1973;-0,05176934
31.05.1973;-0,02450797
29.06.1973;-0,008647891
31.07.1973;0,05696059
31.08.1973;-0,02965693
28.09.1973;0,05393126
31.10.1973;-0,000415107
30.11.1973;-0,1207133
31.12.1973;0,01143655
31.01.1974;0,004412671
28.02.1974;0,002345074
29.03.1974;-0,02336402
30.04.1974;-0,04596092
31.05.1974;-0,04198143
28.06.1974;-0,02294237
31.07.1974;-0,07087424
30.08.1974;-0,08775712
30.09.1974;-0,1097183
31.10.1974;0,1655841
29.11.1974;-0,04104609
31.12.1974;-0,02700542
31.01.1975;0,1415995
28.02.1975;0,05841169
31.03.1975;0,03019048
30.04.1975;0,04649667
30.05.1975;0,05513955
30.06.1975;0,05147332
31.07.1975;-0,06038471
29.08.1975;-0,0235575
30.09.1975;-0,03800991
31.10.1975;0,0558566
28.11.1975;0,0312216
31.12.1975;-0,01099771
30.01.1976;0,1260122
27.02.1976;0,007309603
31.03.1976;0,02674025
30.04.1976;-0,01040186
28.05.1976;-0,009325603
30.06.1976;0,04452101
30.07.1976;-0,00613619
31.08.1976;-0,001397962
30.09.1976;0,02451259
29.10.1976;-0,0203717
30.11.1976;0,005363398
31.12.1976;0,06159101
31.01.1977;-0,03632604
28.02.1977;-0,01574441
31.03.1977;-0,009248591
29.04.1977;0,004962074
31.05.1977;-0,010777
30.06.1977;0,05136869
29.07.1977;-0,01280639
31.08.1977;-0,0133381
30.09.1977;0,001571887
31.10.1977;-0,03927758
30.11.1977;0,0454397
30.12.1977;0,00822271
31.01.1978;-0,05519891
28.02.1978;-0,009274694
31.03.1978;0,03400927
28.04.1978;0,08285323
31.05.1978;0,02322997
30.06.1978;-0,01074848
31.07.1978;0,05674101
31.08.1978;0,04237023
29.09.1978;-0,006888612
31.10.1978;-0,1109954
30.11.1978;0,03378727
29.12.1978;0,01770776
31.01.1979;0,0495299
28.02.1979;-0,02676539
30.03.1979;0,06561343
30.04.1979;0,008519717
31.05.1979;-0,0135714
29.06.1979;0,04685158
31.07.1979;0,0149913
31.08.1979;0,06473161
28.09.1979;0,001426022
31.10.1979;-0,07266193
30.11.1979;0,06360385
31.12.1979;0,0282146
31.01.1980;0,06560711
29.02.1980;0,001014548
31.03.1980;-0,1202242
30.04.1980;0,05228721
30.05.1980;0,06009049
30.06.1980;0,03771436
31.07.1980;0,06943817
29.08.1980;0,0235535
30.09.1980;0,02949784
31.10.1980;0,02009481
28.11.1980;0,1049521
31.12.1980;-0,03441059
30.01.1981;-0,04008484
27.02.1981;0,01551936
31.03.1981;0,04618289
30.04.1981;-0,01126625
29.05.1981;0,01354637
30.06.1981;-0,01024274
31.07.1981;-0,003079483
31.08.1981;-0,05628101
30.09.1981;-0,06377578
30.10.1981;0,06016215
30.11.1981;0,04584814
31.12.1981;-0,02809599
29.01.1982;-0,02620859
26.02.1982;-0,05112622
31.03.1982;-0,01010141
30.04.1982;0,04326891
28.05.1982;-0,02821291
30.06.1982;-0,0239132
30.07.1982;-0,02052549
31.08.1982;0,1190159
30.09.1982;0,01676568
29.10.1982;0,1186322
30.11.1982;0,05194144
31.12.1982;0,01450987
31.01.1983;0,04184372
28.02.1983;0,03021478
31.03.1983;0,03467751
29.04.1983;0,07418492
31.05.1983;0,01322526
30.06.1983;0,0378373
29.07.1983;-0,03156984
31.08.1983;0,003465299
30.09.1983;0,01602687
31.10.1983;-0,02803828
30.11.1983;0,02955592
30.12.1983;-0,01046383
31.01.1984;-0,01302517
29.02.1984;-0,03907293
30.03.1984;0,0133896
30.04.1984;0,002537513
31.05.1984;-0,05231956
29.06.1984;0,02338386
31.07.1984;-0,02062318
31.08.1984;0,1126908
28.09.1984;0,000403445
31.10.1984;-7,31223E-05
30.11.1984;-0,01068512
31.12.1984;0,02365304
31.01.1985;0,08571907
28.02.1985;0,01689766
29.03.1985;-0,001746759
30.04.1985;-0,002186514
31.05.1985;0,05577431
28.06.1985;0,01709094
31.07.1985;-0,0002511
30.08.1985;-0,004794401
30.09.1985;-0,03982587
31.10.1985;0,04444109
