Date of Observation;Value-Weighted Return-incl. dividends
31.08.2012;0,02631677
28.09.2012;0,02651327
31.10.2012;-0,0140545
30.11.2012;0,006216758
31.12.2012;0,01256859
31.01.2013;0,0541421
28.02.2013;0,008282192
28.03.2013;0,03529461
30.04.2013;0,01493866
31.05.2013;0,01912778
28.06.2013;-0,01507222
31.07.2013;0,05265804
30.08.2013;-0,02575004
30.09.2013;0,03749721
31.10.2013;0,03988853
29.11.2013;0,02495637
31.12.2013;0,02613988
31.01.2014;-0,03001971
28.02.2014;0,04619832
31.03.2014;0,004540291
30.04.2014;0,001573208
30.05.2014;0,02025402
30.06.2014;0,02797293
31.07.2014;-0,02055493
29.08.2014;0,04020539
30.09.2014;-0,02519575
31.10.2014;0,02116392
28.11.2014;0,02110401
31.12.2014;-0,003659041
30.01.2015;-0,0271631
27.02.2015;0,05591532
31.03.2015;-0,01039692
30.04.2015;0,008766011
29.05.2015;0,01027741
30.06.2015;-0,01923101
31.07.2015;0,01210751
31.08.2015;-0,05992642
30.09.2015;-0,03375591
30.10.2015;0,07393721
30.11.2015;0,002404462
31.12.2015;-0,02220932
29.01.2016;-0,05708457
29.02.2016;0,000620288
31.03.2016;0,0704914
29.04.2016;0,0117175
31.05.2016;0,01433951
30.06.2016;0,002946602
29.07.2016;0,03881466
31.08.2016;0,002800222
30.09.2016;0,003013442
31.10.2016;-0,02154373
30.11.2016;0,04048759
30.12.2016;0,01876276
31.01.2017;0,02215333
28.02.2017;0,03259838
31.03.2017;0,002061818
28.04.2017;0,009655031
31.05.2017;0,009334804
30.06.2017;0,009570691
31.07.2017;0,02027744
31.08.2017;0,001600331
29.09.2017;0,02372905
31.10.2017;0,0192748
30.11.2017;0,02723145
29.12.2017;0,01212235
31.01.2018;0,05057655
28.02.2018;-0,0394545
29.03.2018;-0,018421
30.04.2018;0,004678835
31.05.2018;0,02614564
29.06.2018;0,005359479
31.07.2018;0,03157314
31.08.2018;0,03023302
28.09.2018;0,00042462
31.10.2018;-0,07404538
30.11.2018;0,01851214
31.12.2018;-0,08989006
31.01.2019;0,08829391
28.02.2019;0,03272421
29.03.2019;0,01296229
30.04.2019;0,03789327
31.05.2019;-0,06167856
28.06.2019;0,06727886
31.07.2019;0,01185439
30.08.2019;-0,02033936
30.09.2019;0,01603304
31.10.2019;0,01925709
29.11.2019;0,03499901
31.12.2019;0,02848878
31.01.2020;-0,001727854
28.02.2020;-0,07791799
31.03.2020;-0,1417327
30.04.2020;0,1296738
29.05.2020;0,05373875
30.06.2020;0,02529909
31.07.2020;0,05553149
31.08.2020;0,0684422
30.09.2020;-0,03505599
30.10.2020;-0,02017831
30.11.2020;0,123707
31.12.2020;0,0450483
29.01.2021;-0,000631127
26.02.2021;0,02919625
31.03.2021;0,0305733
30.04.2021;0,04819019
28.05.2021;0,007091862
30.06.2021;0,0234218
30.07.2021;0,0118278
31.08.2021;0,02714637
30.09.2021;-0,0422434
29.10.2021;0,06465051
30.11.2021;-0,01835049
31.12.2021;0,03334123
31.01.2022;-0,05982246
28.02.2022;-0,02183775
31.03.2022;0,03050572
29.04.2022;-0,08938684
31.05.2022;-0,002112941
30.06.2022;-0,0839975
29.07.2022;0,09035075
31.08.2022;-0,03623306
30.09.2022;-0,091323
31.10.2022;0,07739363
30.11.2022;0,05235392
30.12.2022;-0,05711946
31.01.2023;0,07182328
28.02.2023;-0,02466604
31.03.2023;0,02394981
28.04.2023;0,008975723
31.05.2023;0,000707988
30.06.2023;0,06618283
31.07.2023;0,03562433
31.08.2023;-0,02060537
29.09.2023;-0,04738989
31.10.2023;-0,02886712
30.11.2023;0,09205732
29.12.2023;0,05346765
